D10 AVENIDA CALI,Calle 85 A - 2 ó 5
D10 AVENIDA CALI,Carrera 47 A - 4 ó 6
D10 AVENIDA CALI,Carrera 53 A - 4
D10 AVENIDA CALI,Carrera 77 B - 4
D10 AVENIDA CALI,Avenida Ciudad de Cali A - 3
B10 Cabecera Autopista Norte_AC,Avenida Ciudad de Cali A - 3
B10 Cabecera Autopista Norte_AC,Avenida Ciudad de Cali A - 1
B10 Cabecera Autopista Norte_AC,Carrera 77 B - 1
B10 Cabecera Autopista Norte_AC,Carrera 53 A - 2
B10 Cabecera Autopista Norte_AC,Carrera 47 A - 2 ó 5
B10 Cabecera Autopista Norte_AC,Calle 85 A - 4
B10 Cabecera Autopista Norte_AC,Virrey A - 4 ó 6
B10 Cabecera Autopista Norte_AC,Calle 100 B - 4
B10 Cabecera Autopista Norte_AC,Calle 106 B - 4 ó 6
B10 Cabecera Autopista Norte_AC,Pepe Sierra A - 4 ó 6
B10 Cabecera Autopista Norte_AC,Alcalá C - 4 ó 6
B10 Cabecera Autopista Norte_AC,Calle 146 B - 3
B10 Cabecera Autopista Norte_AC,Mazurén A - 3
B10 Cabecera Autopista Norte_AC,Toberín C - 4 ó 6
B10 Cabecera Autopista Norte_AC,Cabecera Autopista Norte T1
B12 P.NORTE,Portal Sur T3
B12 P.NORTE,Perdomo A - 3 ó 6
B12 P.NORTE,Madelena A - 3
B12 P.NORTE,General Santander B - 4 ó 6
B12 P.NORTE,Santa Isabel A - 3
B12 P.NORTE,Comuneros A - 4
B12 P.NORTE,NQS - RICAURTE B - 4 ó 6
B12 P.NORTE,Av. El Dorado A - 4 ó 6
B12 P.NORTE,U. Nacional B - 3
B12 P.NORTE,Simon Bolivar B - 4
B12 P.NORTE,NQS - Calle 75 A - 4 ó 6
B12 P.NORTE,Castellana A - 3
B12 P.NORTE,Calle 100 A - 4 ó 6
B12 P.NORTE,Calle 127 A - 4 ó 6
B12 P.NORTE,Prado A - 3
B12 P.NORTE,Calle 142 A - 4
B12 P.NORTE,Toberín C - 4 ó 6
B12 P.NORTE,Cabecera Autopista Norte T2
G12 P. SUR,Cabecera Autopista Norte T2
G12 P. SUR,Toberín B - 2 ó 5
G12 P. SUR,Calle 142 A - 2
G12 P. SUR,Prado C - 1
G12 P. SUR,Calle 127 A - 2 ó 5
G12 P. SUR,Calle 100 A - 2 ó 5
G12 P. SUR,Castellana B - 1
G12 P. SUR,NQS - Calle 75 B - 2 ó 5
G12 P. SUR,Simon Bolivar A - 2
G12 P. SUR,U. Nacional C - 1
G12 P. SUR,Av. El Dorado A - 2 ó 5
G12 P. SUR,NQS - RICAURTE C - 1
G12 P. SUR,Comuneros A - 2
G12 P. SUR,Santa Isabel A - 1
G12 P. SUR,General Santander A - 2 ó 5
G12 P. SUR,Madelena A - 1
G12 P. SUR,Perdomo A - 1 ó 5
G12 P. SUR,Portal Sur T3
B12 P.NORTE_GS,General Santander A - 2 ó 5
B12 P.NORTE_GS,General Santander B - 4 ó 6
B12 P.NORTE_GS,Santa Isabel A - 3
B12 P.NORTE_GS,Comuneros A - 4
B12 P.NORTE_GS,NQS - RICAURTE B - 4 ó 6
B12 P.NORTE_GS,Av. El Dorado A - 4 ó 6
B12 P.NORTE_GS,U. Nacional B - 3
B12 P.NORTE_GS,Simon Bolivar B - 4
B12 P.NORTE_GS,NQS - Calle 75 A - 4 ó 6
B12 P.NORTE_GS,Castellana A - 3
B12 P.NORTE_GS,Calle 100 A - 4 ó 6
B12 P.NORTE_GS,Calle 127 A - 4 ó 6
B12 P.NORTE_GS,Prado A - 3
B12 P.NORTE_GS,Calle 142 A - 4
B12 P.NORTE_GS,Toberín C - 4 ó 6
B12 P.NORTE_GS,Cabecera Autopista Norte T2
G12 G.SANTANDER,Cabecera Autopista Norte T2
G12 G.SANTANDER,Toberín B - 2 ó 5
G12 G.SANTANDER,Calle 142 A - 2
G12 G.SANTANDER,Prado C - 1
G12 G.SANTANDER,Calle 127 B - 1
G12 G.SANTANDER,Calle 100 A - 2 ó 5
G12 G.SANTANDER,Castellana B - 1
G12 G.SANTANDER,NQS - Calle 75 B - 2 ó 5
G12 G.SANTANDER,Simon Bolivar A - 2
G12 G.SANTANDER,U. Nacional C - 1
G12 G.SANTANDER,Av. El Dorado A - 2 ó 5
G12 G.SANTANDER,NQS - RICAURTE C - 1
G12 G.SANTANDER,Comuneros A - 2
G12 G.SANTANDER,Santa Isabel A - 1
G12 G.SANTANDER,General Santander A - 2 ó 5
B13 P. Norte,Portal Tunal T1
B13 P. Norte,Calle 40 Sur A - 4 ó 6
B13 P. Norte,Quiroga A - 3
B13 P. Norte,Restrepo A - 3 ó 6
B13 P. Norte,Hortúa A - 3 ó 6
B13 P. Norte,Tercer Milenio A - 4 ó 6
B13 P. Norte,Calle 22 A - 4 ó 6
B13 P. Norte,Avenida 39 A - 4 ó 6
B13 P. Norte,Calle 63 B - 4 ó 6
B13 P. Norte,Las Flores A - 3
B13 P. Norte,Calle 85 B - 4 ó 6
B13 P. Norte,Calle 100 B - 3
B13 P. Norte,Calle 106 B - 4 ó 6
B13 P. Norte,Calle 142 B - 4
B13 P. Norte,Mazurén B - 4
B13 P. Norte,Cardio Infantíl B - 4
B13 P. Norte,Cabecera Autopista Norte T6
H13 P. Tunal,Cabecera Autopista Norte T6
H13 P. Tunal,Cardio Infantíl A - 2
H13 P. Tunal,Mazurén C - 1
H13 P. Tunal,Calle 142 B - 2
H13 P. Tunal,Calle 106 A - 2 ó 5
H13 P. Tunal,Calle 100 B - 1
H13 P. Tunal,Calle 85 C - 2 ó 5
H13 P. Tunal,Las Flores B - 2 ó 5
H13 P. Tunal,Calle 63 A - 2 ó 5
H13 P. Tunal,Avenida 39 B - 2 ó 5
H13 P. Tunal,Calle 22 C - 2
H13 P. Tunal,Tercer Milenio C - 2
H13 P. Tunal,Hortúa B - 1
H13 P. Tunal,Restrepo B - 1
H13 P. Tunal,Quiroga A - 2
H13 P. Tunal,Calle 40 Sur A - 2 ó 5
H13 P. Tunal,Portal Tunal T1
B14 P. NORTE_TV86,Transversal 86 B - 4
B14 P. NORTE_TV86,Transversal 86 B - 2
B14 P. NORTE_TV86,Banderas T6
B14 P. NORTE_TV86,Pradera A - 2 ó 5
B14 P. NORTE_TV86,CDS - Carrera 32 B - 1
B14 P. NORTE_TV86,La Sabana B - 1
B14 P. NORTE_TV86,Calle 26 A - 4 ó 6
B14 P. NORTE_TV86,Profamilia A - 4 ó 6
B14 P. NORTE_TV86,Calle 45 A - 4 ó 6
B14 P. NORTE_TV86,Marly A - 4 ó 6
B14 P. NORTE_TV86,Heroes A - 4 ó 6
